null_values_mdd,actual_value_mdd,null_values_aud,actual_value_aud,null_values_hc01,actual_value_hc01,null_values_hc02,actual_value_hc02
0.091362561,,0.15265561,,0.066637908,,0.064418928,
0.099503379,,0.1080785,,0.103473181,,0.121291412,
0.042986718,,0.075089997,,0.111092794,,0.084129828,
0.11223833,,0.188652193,,0.06518931,,0.068191788,
0.046918092,,0.135528746,,0.063121274,,0.094129849,
0.124929749,,0.209428547,,0.072674553,,0.113395741,
0.028793797,,0.065805755,,0.077819138,,0.054453775,
0.045250773,,0.111549517,,0.08782567,,0.086823374,
0.090443439,,0.065458555,,0.143863322,,0.115892835,
0.046128276,,0.071790548,,0.061405422,,0.089743917,
0.100318485,,0.083229927,,0.133743773,,0.135310592,
0.027105895,,0.077144214,,0.062557449,,0.041002251,
0.146244914,,0.180448862,,0.139600732,,0.116946339,
0.082735296,,0.05827953,,0.105215133,,0.107912034,
0.109466041,,0.074631064,,0.129164229,,0.136803766,
0.071824026,,0.061722626,,0.094679184,,0.186546834,
0.076949409,,0.108241041,,0.061917303,,0.081410541,
0.045769669,,0.108715061,,0.074590461,,0.054230389,
0.047485466,,0.066507188,,0.09237909,,0.100389876,
0.053996466,,0.05750293,,0.104040426,,0.106084433,
0.065258032,,0.133527583,,0.07008142,,0.085535433,
0.024852735,,0.077850751,,0.08580381,,0.076401417,
0.048070941,,0.05215484,,0.083365798,,0.048912379,
0.109456299,,0.119509491,,0.185979373,,0.114364207,
0.076561205,,0.128532888,,0.093866065,,0.118484589,
0.076129944,,0.12223126,,0.101144299,,0.123632601,
0.243377998,,0.351295299,,0.135063351,,0.229984511,
0.063508568,,0.069198688,,0.092145842,,0.090966118,
0.060119969,,0.118380777,,0.071839302,,0.041861471,
0.048435343,,0.123073385,,0.096584215,,0.063755129,
0.037243458,,0.14413824,,0.089926462,,0.067865574,
0.049679527,,0.068782988,,0.050712873,,0.120884348,
0.038997414,,0.12713205,,0.058797569,,0.067912298,
0.043355232,,0.124904005,,0.032293613,,0.022852329,
0.035071329,,0.11221507,,0.065971768,,0.076870704,
0.024488829,,0.075255024,,0.065042799,,0.106595875,
0.039696313,,0.054070376,,0.070024094,,0.065556179,
