all_between,all_within
-0.072581597,0.178354204
-0.049360145,0.234822065
-0.031825695,0.215897381
-0.057745449,0.244781122
-0.043466259,0.159394279
-0.039273106,0.212856457
-0.053441156,0.172167033
-0.036502946,-0.031635113
-0.064837702,0.170288026
0.020191992,0.213176697
-0.071699902,0.236814082
-0.079096697,0.276108921
-0.083464354,0.174688771
-0.045739472,0.195604205
-0.093179911,0.330837458
-0.031195367,0.237942904
-0.13163422,0.175696388
-0.054549966,0.222602278
-0.025590269,0.200121313
-0.091410771,-0.082712516
-0.003815419,0.157881811
-0.099479608,0.155489892
0.015585856,0.251313895
-0.034316834,0.239784822
-0.056730453,0.170087293
-0.094082236,0.177136749
-0.081392281,0.211036086
0.000974123,0.346504807
-0.059954934,0.156827301
-0.031926692,0.228636146
-0.021774538,0.159908891
0.064205945,-0.042312849
-0.056925897,0.204465792
-0.094600767,0.211861551
-0.017521963,0.245511621
-0.0645089,0.285774708
-0.045898937,0.232635945
-0.048877925,0.205077514
-0.00938721,0.258065134
-0.040751826,0.257513344
-0.024644261,0.279981375
-0.044917937,0.267860323
-0.039729785,0.187485814
-0.046141542,-0.029508591
-0.050205227,0.165888399
0.050345629,0.137751251
-0.070594668,0.224614188
-0.06448929,0.258513838
-0.064814255,0.156307757
-0.058125108,0.157443002
-0.076876812,0.19851698
-0.005737037,0.229613677
-0.126837909,0.14289403
-0.049847774,0.289405406
-0.020683518,0.208178386
-0.02290334,-0.003534379
-0.024380967,0.106180958
-0.111036919,0.166609541
0.016860433,0.232343659
-0.065248884,0.259115875
-0.079414986,0.114840917
-0.110042438,0.147935688
-0.087516606,0.203610078
0.004439969,0.171031386
-0.056932237,0.127832502
-0.052645642,0.216833904
-0.024388915,0.374954551
0.012957301,-0.02779109
-0.078396693,0.24499099
-0.111321062,-0.13513504
-0.035461817,-0.024349635
-0.090802073,0.000932619
-0.050702505,-0.014867355
-0.027979339,-0.036954317
0.012448801,-0.124411397
-0.061087068,-0.041959673
-0.055381078,-0.074619837
-0.031724337,-0.027688889
-0.033540331,-0.070122831
-0.03875095,0.55005759
-0.110008582,0.259746879
-0.094561353,0.128361091
-0.136077181,0.117006972
-0.10322091,0.158252731
-0.130640134,0.192534387
-0.063545696,0.160952881
